Latitude,Longitude,DIS24_First_Step,UpArea
21.025,96.975,,
21.025,97.02499999999999,,
21.025,97.07499999999999,,
21.025,97.12499999999999,,
21.025,97.17499999999998,,
21.025,97.22499999999998,,
21.025,97.27499999999998,,
21.025,97.32499999999997,,
21.025,97.37499999999997,8.78125,1265076700.0
21.025,97.42499999999997,,
21.025,97.47499999999997,,
21.025,97.52499999999996,,
21.025,97.57499999999996,,
21.025,97.62499999999996,,
21.025,97.67499999999995,,
21.025,97.72499999999995,32.703125,3958540800.0
21.025,97.77499999999995,,
21.025,97.82499999999995,,
21.025,97.87499999999994,,
21.025,97.92499999999994,,
21.025,97.97499999999994,,
21.025,98.02499999999993,44.28125,5830816000.0
21.025,98.07499999999993,52.921875,6951780400.0
21.025,98.12499999999993,,
21.025,98.17499999999993,,
21.025,98.22499999999992,,
21.025,98.27499999999992,,
21.025,98.32499999999992,,
21.025,98.37499999999991,,
21.025,98.42499999999991,,
21.025,98.47499999999991,142.28125,12154088000.0
21.025,98.5249999999999,,
21.025,98.5749999999999,,
21.025,98.6249999999999,,
21.025,98.6749999999999,,
21.025,98.7249999999999,,
21.025,98.77499999999989,439.35938,163602220000.0
21.025,98.82499999999989,,
21.025,98.87499999999989,,
21.025,98.92499999999988,,
21.025,98.97499999999988,,
21.025,99.02499999999988,,
21.025,99.07499999999987,,
21.025,99.12499999999987,,
21.025,99.17499999999987,,
21.025,99.22499999999987,18.5,1953586300.0
21.025,99.27499999999986,,
21.025,99.32499999999986,,
21.025,99.37499999999986,,
21.025,99.42499999999986,,
21.025,99.47499999999985,,
21.025,99.52499999999985,,
21.025,99.57499999999985,,
21.025,99.62499999999984,,
21.025,99.67499999999984,,
21.025,99.72499999999984,,
21.025,99.77499999999984,,
21.025,99.82499999999983,,
21.025,99.87499999999983,,
21.025,99.92499999999983,,
21.025,99.97499999999982,,
21.025,100.02499999999982,,
21.025,100.07499999999982,,
21.025,100.12499999999982,,
21.025,100.17499999999981,,
21.025,100.22499999999981,,
21.025,100.2749999999998,,
21.025,100.3249999999998,,
21.025,100.3749999999998,,
21.025,100.4249999999998,,
21.025,100.4749999999998,,
21.025,100.52499999999979,17.640625,1610531700.0
21.025,100.57499999999979,823.7344,178223070000.0
21.025,100.62499999999979,,
21.025,100.67499999999978,,
21.025,100.72499999999978,,
21.025,100.77499999999978,,
21.025,100.82499999999978,,
21.025,100.87499999999977,,
21.025,100.92499999999977,5.359375,517895000.0
21.025,100.97499999999977,,
21.025,101.02499999999976,,
21.025,101.07499999999976,,
21.025,101.12499999999976,,
21.025,101.17499999999976,,
21.025,101.22499999999975,,
21.025,101.27499999999975,,
21.025,101.32499999999975,,
21.025,101.37499999999974,,
